Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Svalbard,2025-11-17 19:51:02,2025-11-17 20:03:13,12.2,89.2
Kiruna,2025-11-17 19:53:06,2025-11-17 20:04:13,11.1,32.0
Santiago,2025-11-17 20:30:37,2025-11-17 20:32:13,1.6,5.2
Troll,2025-11-17 20:37:54,2025-11-17 20:43:32,5.6,7.8
McMurdo,2025-11-17 20:41:34,2025-11-17 20:53:53,12.3,67.9
Awarua,2025-11-17 20:50:19,2025-11-17 20:59:32,9.2,16.6
Dongara,2025-11-17 21:00:15,2025-11-17 21:04:25,4.2,6.6
Svalbard,2025-11-17 21:29:49,2025-11-17 21:41:52,12.1,66.4
Kiruna,2025-11-17 21:31:22,2025-11-17 21:41:10,9.8,19.9
Wallops,2025-11-17 21:46:47,2025-11-17 21:52:22,5.6,8.0
Santiago,2025-11-17 22:03:05,2025-11-17 22:15:09,12.1,65.9
McMurdo,2025-11-17 22:20:29,2025-11-17 22:32:48,12.3,77.4
Dongara,2025-11-17 22:35:20,2025-11-17 22:47:29,12.1,82.9
Singapore,2025-11-17 22:44:17,2025-11-17 22:56:09,11.9,56.6
Svalbard,2025-11-17 23:08:22,2025-11-17 23:20:21,12.0,60.6
Kiruna,2025-11-17 23:08:49,2025-11-17 23:18:24,9.6,18.7
Wallops,2025-11-17 23:22:50,2025-11-17 23:34:55,12.1,88.3
Ponce de Leon,2025-11-17 23:25:32,2025-11-17 23:37:31,12.0,65.8
Merrit Island,2025-11-17 23:25:39,2025-11-17 23:37:39,12.0,68.6
Santiago,2025-11-17 23:44:28,2025-11-17 23:51:49,7.3,10.7
